,year,week_number,content,relative_yearly,relative_period
274,2015,13,1,16.666666666666664,8.333333333333332
275,2015,14,3,50.0,25.0
276,2015,15,3,50.0,25.0
277,2015,16,3,50.0,25.0
278,2015,17,3,50.0,25.0
279,2015,18,1,16.666666666666664,8.333333333333332
280,2015,19,4,66.66666666666666,33.33333333333333
281,2015,20,3,50.0,25.0
282,2015,21,4,66.66666666666666,33.33333333333333
283,2015,22,1,16.666666666666664,8.333333333333332
284,2015,23,4,66.66666666666666,33.33333333333333
285,2015,24,3,50.0,25.0
286,2015,25,1,16.666666666666664,8.333333333333332
287,2015,26,1,16.666666666666664,8.333333333333332
288,2015,27,2,33.33333333333333,16.666666666666664
289,2015,28,1,16.666666666666664,8.333333333333332
290,2015,29,1,16.666666666666664,8.333333333333332
291,2015,30,2,33.33333333333333,16.666666666666664
292,2015,31,1,16.666666666666664,8.333333333333332
293,2015,32,2,33.33333333333333,16.666666666666664
294,2015,33,3,50.0,25.0
295,2015,34,2,33.33333333333333,16.666666666666664
296,2015,35,1,16.666666666666664,8.333333333333332
297,2015,36,1,16.666666666666664,8.333333333333332
298,2015,37,1,16.666666666666664,8.333333333333332
299,2015,38,3,50.0,25.0
300,2015,39,6,100.0,50.0
301,2015,40,1,16.666666666666664,8.333333333333332
302,2015,41,1,16.666666666666664,8.333333333333332
303,2015,42,4,66.66666666666666,33.33333333333333
304,2015,43,2,33.33333333333333,16.666666666666664
305,2015,44,3,50.0,25.0
306,2015,45,5,83.33333333333333,41.666666666666664
307,2015,46,2,33.33333333333333,16.666666666666664
308,2015,47,1,16.666666666666664,8.333333333333332
309,2015,48,6,100.0,50.0
310,2015,49,5,83.33333333333333,41.666666666666664
311,2015,50,1,16.666666666666664,8.333333333333332
312,2015,51,2,33.33333333333333,16.666666666666664
313,2015,52,5,83.33333333333333,41.666666666666664
314,2016,1,4,66.66666666666666,33.33333333333333
315,2016,2,5,83.33333333333333,41.666666666666664
316,2016,3,3,50.0,25.0
317,2016,4,2,33.33333333333333,16.666666666666664
318,2016,5,2,33.33333333333333,16.666666666666664
319,2016,6,2,33.33333333333333,16.666666666666664
320,2016,7,2,33.33333333333333,16.666666666666664
321,2016,8,3,50.0,25.0
322,2016,9,1,16.666666666666664,8.333333333333332
323,2016,10,5,83.33333333333333,41.666666666666664
324,2016,11,2,33.33333333333333,16.666666666666664
325,2016,12,3,50.0,25.0
326,2016,13,1,16.666666666666664,8.333333333333332
327,2016,14,0,0.0,0.0
328,2016,15,3,50.0,25.0
329,2016,16,5,83.33333333333333,41.666666666666664
330,2016,17,4,66.66666666666666,33.33333333333333
331,2016,18,3,50.0,25.0
332,2016,19,1,16.666666666666664,8.333333333333332
333,2016,20,6,100.0,50.0
334,2016,21,1,16.666666666666664,8.333333333333332
335,2016,22,6,100.0,50.0
336,2016,23,3,50.0,25.0
