,year,week_number,content,relative_yearly,relative_period
327,2016,15,1,14.285714285714285,14.285714285714285
328,2016,16,3,42.857142857142854,42.857142857142854
329,2016,17,0,0.0,0.0
330,2016,18,1,14.285714285714285,14.285714285714285
331,2016,19,1,14.285714285714285,14.285714285714285
332,2016,20,5,71.42857142857142,71.42857142857142
333,2016,21,0,0.0,0.0
334,2016,22,2,28.57142857142857,28.57142857142857
335,2016,23,0,0.0,0.0
336,2016,24,2,28.57142857142857,28.57142857142857
337,2016,25,2,28.57142857142857,28.57142857142857
338,2016,26,2,28.57142857142857,28.57142857142857
339,2016,27,3,42.857142857142854,42.857142857142854
340,2016,28,1,14.285714285714285,14.285714285714285
341,2016,29,1,14.285714285714285,14.285714285714285
342,2016,30,2,28.57142857142857,28.57142857142857
343,2016,31,1,14.285714285714285,14.285714285714285
344,2016,32,0,0.0,0.0
345,2016,33,1,14.285714285714285,14.285714285714285
346,2016,34,0,0.0,0.0
347,2016,35,2,28.57142857142857,28.57142857142857
348,2016,36,4,57.14285714285714,57.14285714285714
349,2016,37,2,28.57142857142857,28.57142857142857
350,2016,38,0,0.0,0.0
351,2016,39,0,0.0,0.0
352,2016,40,0,0.0,0.0
353,2016,41,0,0.0,0.0
354,2016,42,1,14.285714285714285,14.285714285714285
355,2016,43,0,0.0,0.0
356,2016,44,1,14.285714285714285,14.285714285714285
357,2016,45,0,0.0,0.0
358,2016,46,1,14.285714285714285,14.285714285714285
359,2016,47,0,0.0,0.0
360,2016,48,4,57.14285714285714,57.14285714285714
361,2016,49,1,14.285714285714285,14.285714285714285
362,2016,50,1,14.285714285714285,14.285714285714285
363,2016,51,0,0.0,0.0
364,2016,52,1,14.285714285714285,14.285714285714285
365,2017,1,1,25.0,14.285714285714285
366,2017,2,1,25.0,14.285714285714285
367,2017,3,1,25.0,14.285714285714285
368,2017,4,2,50.0,28.57142857142857
369,2017,5,0,0.0,0.0
370,2017,6,1,25.0,14.285714285714285
371,2017,7,1,25.0,14.285714285714285
372,2017,8,2,50.0,28.57142857142857
373,2017,9,2,50.0,28.57142857142857
374,2017,10,0,0.0,0.0
375,2017,11,0,0.0,0.0
376,2017,12,1,25.0,14.285714285714285
377,2017,13,2,50.0,28.57142857142857
378,2017,14,2,50.0,28.57142857142857
379,2017,15,3,75.0,42.857142857142854
380,2017,16,1,25.0,14.285714285714285
381,2017,17,3,75.0,42.857142857142854
382,2017,18,1,25.0,14.285714285714285
383,2017,19,1,25.0,14.285714285714285
384,2017,20,0,0.0,0.0
385,2017,21,0,0.0,0.0
386,2017,22,0,0.0,0.0
387,2017,23,2,50.0,28.57142857142857
388,2017,24,1,25.0,14.285714285714285
389,2017,25,1,25.0,14.285714285714285
390,2017,26,1,25.0,14.285714285714285
391,2017,27,4,100.0,57.14285714285714
392,2017,28,1,25.0,14.285714285714285
393,2017,29,2,50.0,28.57142857142857
394,2017,30,1,25.0,14.285714285714285
395,2017,31,1,25.0,14.285714285714285
396,2017,32,2,50.0,28.57142857142857
397,2017,33,1,25.0,14.285714285714285
398,2017,34,0,0.0,0.0
399,2017,35,0,0.0,0.0
400,2017,36,0,0.0,0.0
401,2017,37,0,0.0,0.0
402,2017,38,1,25.0,14.285714285714285
403,2017,39,1,25.0,14.285714285714285
404,2017,40,0,0.0,0.0
405,2017,41,0,0.0,0.0
406,2017,42,1,25.0,14.285714285714285
407,2017,43,2,50.0,28.57142857142857
408,2017,44,1,25.0,14.285714285714285
409,2017,45,2,50.0,28.57142857142857
410,2017,46,0,0.0,0.0
411,2017,47,1,25.0,14.285714285714285
412,2017,48,2,50.0,28.57142857142857
413,2017,49,1,25.0,14.285714285714285
414,2017,50,2,50.0,28.57142857142857
415,2017,51,2,50.0,28.57142857142857
416,2017,52,1,25.0,14.285714285714285
417,2017,53,0,0.0,0.0
418,2018,1,2,66.66666666666666,28.57142857142857
419,2018,2,0,0.0,0.0
420,2018,3,2,66.66666666666666,28.57142857142857
421,2018,4,3,100.0,42.857142857142854
422,2018,5,0,0.0,0.0
423,2018,6,3,100.0,42.857142857142854
424,2018,7,0,0.0,0.0
425,2018,8,1,33.33333333333333,14.285714285714285
426,2018,9,0,0.0,0.0
427,2018,10,3,100.0,42.857142857142854
428,2018,11,0,0.0,0.0
429,2018,12,0,0.0,0.0
430,2018,13,1,33.33333333333333,14.285714285714285
431,2018,14,3,100.0,42.857142857142854
432,2018,15,3,100.0,42.857142857142854
433,2018,16,1,33.33333333333333,14.285714285714285
434,2018,17,0,0.0,0.0
435,2018,18,1,33.33333333333333,14.285714285714285
436,2018,19,2,66.66666666666666,28.57142857142857
437,2018,20,1,33.33333333333333,14.285714285714285
438,2018,21,1,33.33333333333333,14.285714285714285
439,2018,22,0,0.0,0.0
440,2018,23,1,33.33333333333333,14.285714285714285
441,2018,24,1,33.33333333333333,14.285714285714285
442,2018,25,0,0.0,0.0
443,2018,26,0,0.0,0.0
444,2018,27,0,0.0,0.0
445,2018,28,0,0.0,0.0
446,2018,29,0,0.0,0.0
447,2018,30,2,66.66666666666666,28.57142857142857
448,2018,31,1,33.33333333333333,14.285714285714285
449,2018,32,0,0.0,0.0
450,2018,33,3,100.0,42.857142857142854
451,2018,34,0,0.0,0.0
452,2018,35,1,33.33333333333333,14.285714285714285
453,2018,36,1,33.33333333333333,14.285714285714285
454,2018,37,1,33.33333333333333,14.285714285714285
455,2018,38,0,0.0,0.0
456,2018,39,2,66.66666666666666,28.57142857142857
457,2018,40,2,66.66666666666666,28.57142857142857
458,2018,41,0,0.0,0.0
459,2018,42,1,33.33333333333333,14.285714285714285
460,2018,43,3,100.0,42.857142857142854
461,2018,44,2,66.66666666666666,28.57142857142857
462,2018,45,3,100.0,42.857142857142854
463,2018,46,1,33.33333333333333,14.285714285714285
464,2018,47,2,66.66666666666666,28.57142857142857
465,2018,48,2,66.66666666666666,28.57142857142857
466,2018,49,2,66.66666666666666,28.57142857142857
467,2018,50,3,100.0,42.857142857142854
468,2018,51,0,0.0,0.0
469,2018,52,0,0.0,0.0
470,2019,1,1,20.0,14.285714285714285
471,2019,2,2,40.0,28.57142857142857
472,2019,3,0,0.0,0.0
473,2019,4,0,0.0,0.0
474,2019,5,0,0.0,0.0
475,2019,6,2,40.0,28.57142857142857
476,2019,7,1,20.0,14.285714285714285
477,2019,8,1,20.0,14.285714285714285
478,2019,9,0,0.0,0.0
479,2019,10,3,60.00000000000001,42.857142857142854
480,2019,11,1,20.0,14.285714285714285
481,2019,12,1,20.0,14.285714285714285
482,2019,13,0,0.0,0.0
483,2019,14,0,0.0,0.0
484,2019,15,1,20.0,14.285714285714285
485,2019,16,3,60.00000000000001,42.857142857142854
486,2019,17,0,0.0,0.0
487,2019,18,0,0.0,0.0
488,2019,19,2,40.0,28.57142857142857
489,2019,20,0,0.0,0.0
490,2019,21,1,20.0,14.285714285714285
491,2019,22,1,20.0,14.285714285714285
492,2019,23,0,0.0,0.0
493,2019,24,1,20.0,14.285714285714285
494,2019,25,1,20.0,14.285714285714285
495,2019,26,2,40.0,28.57142857142857
496,2019,27,2,40.0,28.57142857142857
497,2019,28,2,40.0,28.57142857142857
498,2019,29,3,60.00000000000001,42.857142857142854
499,2019,30,2,40.0,28.57142857142857
500,2019,31,0,0.0,0.0
501,2019,32,5,100.0,71.42857142857142
502,2019,33,3,60.00000000000001,42.857142857142854
503,2019,34,1,20.0,14.285714285714285
504,2019,35,0,0.0,0.0
505,2019,36,2,40.0,28.57142857142857
506,2019,37,2,40.0,28.57142857142857
507,2019,38,3,60.00000000000001,42.857142857142854
508,2019,39,0,0.0,0.0
509,2019,40,2,40.0,28.57142857142857
510,2019,41,0,0.0,0.0
511,2019,42,0,0.0,0.0
512,2019,43,2,40.0,28.57142857142857
513,2019,44,2,40.0,28.57142857142857
514,2019,45,1,20.0,14.285714285714285
515,2019,46,2,40.0,28.57142857142857
516,2019,47,0,0.0,0.0
517,2019,48,1,20.0,14.285714285714285
518,2019,49,2,40.0,28.57142857142857
519,2019,50,2,40.0,28.57142857142857
520,2019,51,0,0.0,0.0
521,2019,52,0,0.0,0.0
522,2020,1,0,0.0,0.0
523,2020,2,0,0.0,0.0
524,2020,3,2,40.0,28.57142857142857
525,2020,4,1,20.0,14.285714285714285
526,2020,5,1,20.0,14.285714285714285
527,2020,6,2,40.0,28.57142857142857
528,2020,7,3,60.00000000000001,42.857142857142854
529,2020,8,3,60.00000000000001,42.857142857142854
530,2020,9,0,0.0,0.0
531,2020,10,2,40.0,28.57142857142857
532,2020,11,0,0.0,0.0
533,2020,12,2,40.0,28.57142857142857
534,2020,13,1,20.0,14.285714285714285
535,2020,14,0,0.0,0.0
536,2020,15,1,20.0,14.285714285714285
537,2020,16,1,20.0,14.285714285714285
538,2020,17,1,20.0,14.285714285714285
539,2020,18,0,0.0,0.0
540,2020,19,0,0.0,0.0
541,2020,20,5,100.0,71.42857142857142
542,2020,21,1,20.0,14.285714285714285
543,2020,22,1,20.0,14.285714285714285
544,2020,23,0,0.0,0.0
545,2020,24,0,0.0,0.0
546,2020,25,1,20.0,14.285714285714285
547,2020,26,4,80.0,57.14285714285714
548,2020,27,0,0.0,0.0
549,2020,28,1,20.0,14.285714285714285
550,2020,29,1,20.0,14.285714285714285
551,2020,30,0,0.0,0.0
552,2020,31,0,0.0,0.0
553,2020,32,0,0.0,0.0
554,2020,33,0,0.0,0.0
555,2020,34,0,0.0,0.0
556,2020,35,0,0.0,0.0
557,2020,36,0,0.0,0.0
558,2020,37,2,40.0,28.57142857142857
559,2020,38,0,0.0,0.0
560,2020,39,1,20.0,14.285714285714285
561,2020,40,1,20.0,14.285714285714285
562,2020,41,1,20.0,14.285714285714285
563,2020,42,0,0.0,0.0
564,2020,43,0,0.0,0.0
565,2020,44,1,20.0,14.285714285714285
566,2020,45,2,40.0,28.57142857142857
567,2020,46,0,0.0,0.0
568,2020,47,0,0.0,0.0
569,2020,48,2,40.0,28.57142857142857
570,2020,49,1,20.0,14.285714285714285
571,2020,50,0,0.0,0.0
572,2020,51,0,0.0,0.0
573,2020,52,0,0.0,0.0
574,2021,1,0,0.0,0.0
575,2021,2,2,66.66666666666666,28.57142857142857
576,2021,3,3,100.0,42.857142857142854
577,2021,4,0,0.0,0.0
578,2021,5,0,0.0,0.0
579,2021,6,0,0.0,0.0
580,2021,7,0,0.0,0.0
581,2021,8,1,33.33333333333333,14.285714285714285
582,2021,9,2,66.66666666666666,28.57142857142857
583,2021,10,1,33.33333333333333,14.285714285714285
584,2021,11,0,0.0,0.0
585,2021,12,0,0.0,0.0
586,2021,13,0,0.0,0.0
587,2021,14,0,0.0,0.0
588,2021,15,0,0.0,0.0
589,2021,16,0,0.0,0.0
590,2021,17,0,0.0,0.0
591,2021,18,0,0.0,0.0
592,2021,19,0,0.0,0.0
593,2021,20,0,0.0,0.0
594,2021,21,2,66.66666666666666,28.57142857142857
595,2021,22,0,0.0,0.0
596,2021,23,2,66.66666666666666,28.57142857142857
597,2021,24,0,0.0,0.0
598,2021,25,0,0.0,0.0
599,2021,26,0,0.0,0.0
600,2021,27,0,0.0,0.0
601,2021,28,0,0.0,0.0
602,2021,29,0,0.0,0.0
603,2021,30,0,0.0,0.0
604,2021,31,0,0.0,0.0
605,2021,32,0,0.0,0.0
606,2021,33,0,0.0,0.0
607,2021,34,1,33.33333333333333,14.285714285714285
608,2021,35,1,33.33333333333333,14.285714285714285
609,2021,36,0,0.0,0.0
610,2021,37,1,33.33333333333333,14.285714285714285
611,2021,38,1,33.33333333333333,14.285714285714285
612,2021,39,1,33.33333333333333,14.285714285714285
613,2021,40,0,0.0,0.0
614,2021,41,0,0.0,0.0
615,2021,42,0,0.0,0.0
616,2021,43,1,33.33333333333333,14.285714285714285
617,2021,44,0,0.0,0.0
618,2021,45,0,0.0,0.0
619,2021,46,0,0.0,0.0
620,2021,47,1,33.33333333333333,14.285714285714285
621,2021,48,0,0.0,0.0
622,2021,49,0,0.0,0.0
623,2021,50,1,33.33333333333333,14.285714285714285
624,2021,51,0,0.0,0.0
625,2021,52,1,33.33333333333333,14.285714285714285
626,2022,1,0,0.0,0.0
627,2022,2,0,0.0,0.0
628,2022,3,1,50.0,14.285714285714285
629,2022,4,0,0.0,0.0
630,2022,5,0,0.0,0.0
631,2022,6,0,0.0,0.0
632,2022,7,1,50.0,14.285714285714285
633,2022,8,0,0.0,0.0
634,2022,9,0,0.0,0.0
635,2022,10,0,0.0,0.0
636,2022,11,1,50.0,14.285714285714285
637,2022,12,0,0.0,0.0
638,2022,13,0,0.0,0.0
639,2022,14,1,50.0,14.285714285714285
640,2022,15,0,0.0,0.0
641,2022,16,0,0.0,0.0
642,2022,17,0,0.0,0.0
643,2022,18,1,50.0,14.285714285714285
644,2022,19,0,0.0,0.0
645,2022,20,0,0.0,0.0
646,2022,21,0,0.0,0.0
647,2022,22,0,0.0,0.0
648,2022,23,0,0.0,0.0
649,2022,24,0,0.0,0.0
650,2022,25,2,100.0,28.57142857142857
651,2022,26,0,0.0,0.0
652,2022,27,0,0.0,0.0
653,2022,28,0,0.0,0.0
654,2022,29,0,0.0,0.0
655,2022,30,0,0.0,0.0
656,2022,31,0,0.0,0.0
657,2022,32,0,0.0,0.0
658,2022,33,0,0.0,0.0
659,2022,34,0,0.0,0.0
660,2022,35,0,0.0,0.0
661,2022,36,0,0.0,0.0
662,2022,37,0,0.0,0.0
663,2022,38,0,0.0,0.0
664,2022,39,0,0.0,0.0
665,2022,40,0,0.0,0.0
666,2022,41,0,0.0,0.0
667,2022,42,0,0.0,0.0
668,2022,43,0,0.0,0.0
669,2022,44,1,50.0,14.285714285714285
670,2022,45,0,0.0,0.0
671,2022,46,0,0.0,0.0
672,2022,47,0,0.0,0.0
673,2022,48,0,0.0,0.0
674,2022,49,0,0.0,0.0
675,2022,50,0,0.0,0.0
676,2022,51,0,0.0,0.0
677,2022,52,0,0.0,0.0
