,year,week_number,content,relative
651,2022,26,0,0.0
652,2022,27,0,0.0
653,2022,28,0,0.0
654,2022,29,0,0.0
655,2022,30,0,0.0
656,2022,31,0,0.0
657,2022,32,0,0.0
658,2022,33,0,0.0
659,2022,34,0,0.0
660,2022,35,0,0.0
661,2022,36,0,0.0
662,2022,37,0,0.0
663,2022,38,0,0.0
664,2022,39,0,0.0
665,2022,40,0,0.0
666,2022,41,0,0.0
667,2022,42,0,0.0
668,2022,43,0,0.0
669,2022,44,0,0.0
670,2022,45,0,0.0
671,2022,46,0,0.0
672,2022,47,0,0.0
673,2022,48,0,0.0
674,2022,49,0,0.0
675,2022,50,0,0.0
676,2022,51,0,0.0
677,2022,52,0,0.0
